StopName_zh,StopName_en,RouteUID,RouteID,RouteName_zh,RouteName_en
臺南火車站(南站),Tainan Train Station(South),TNN10019,10019,19,19
臺南公園(北門路),Tainan Park(Beimen Rd.),TNN10019,10019,19,19
小東路,Siaodong Rd.,TNN10019,10019,19,19
成功大學,National Cheng Kung University,TNN10019,10019,19,19
成大醫院(小東路),Cheng Kung University Hospital(Siaodong Rd.),TNN10019,10019,19,19
無障礙福利之家,Home for the Disabled,TNN10019,10019,19,19
光明街口,Guangming St. Intersection,TNN10019,10019,19,19
四份子,Sihfenzih,TNN10019,10019,19,19
臺灣銀行,Bank of Taiwan,TNN10019,10019,19,19
榮民醫院,Veterans General Hospital,TNN10019,10019,19,19
影劇三村,Yingjyu 3rd Village,TNN10019,10019,19,19
漢聲電台,Voice of Han Broadcasting Network,TNN10019,10019,19,19
建國里,Jianguo Vil.,TNN10019,10019,19,19
崑山科大,Kun Shan University,TNN10019,10019,19,19
崑山社區,Kunshan Community,TNN10019,10019,19,19
天公廟,Tiangong Temple,TNN10019,10019,19,19
埔子尾,Puzihwei,TNN10019,10019,19,19
南灣,Nanwan,TNN10019,10019,19,19
大灣三街,Dawan 3rd St.,TNN10019,10019,19,19
廣護宮,Guanghu Temple,TNN10019,10019,19,19
大灣,Dawan,TNN10019,10019,19,19
姓鄭仔,Singchengzai,TNN10019,10019,19,19
文賢街,Wunsian St.,TNN10019,10019,19,19
大灣高中,Dawan Senior High School,TNN10019,10019,19,19
臺南火車站(北站),Tainan Train Station(North),TNN10019,10019,19,19
南區健保局,NHI Southern Region Branch,TNN10019,10019,19,19
大遠百,FE21’ Department Store,TNN10019,10019,19,19
林百貨(中正路),Hayashi Department Store (Jhongjheng Rd.),TNN10019,10019,19,19
中正、西門路口,Jhongjheng Rd.＆Simen Rd.,TNN10019,10019,19,19
西門、友愛街口,Simen Rd.＆Youai St.,TNN10019,10019,19,19
小西門(大億麗緻),Siaosimen(Tayih Landis Hotel),TNN10019,10019,19,19
永華站,Yonghua Bus Station,TNN10019,10019,19,19
水萍塭公園,Shueipingwun Park,TNN10019,10019,19,19
文南路口,Wunnan Rd. Intersection,TNN10019,10019,19,19
家樂福,Carrefour,TNN10019,10019,19,19
市政中心(永華路),Tainan City Hall(Yonghua Rd.),TNN10019,10019,19,19
南台別院,Nan Tai Temple,TNN10019,10019,19,19
文平路口,Wunping Rd. Intersection,TNN10019,10019,19,19
華平路口,Huaping Rd. Intersection,TNN10019,10019,19,19
健康二街口,Jiankang 2nd St. Intersection,TNN10019,10019,19,19
國平路口,Guoping Rd. Intersection,TNN10019,10019,19,19
平豐路口,Pingfeng Rd. Intersection,TNN10019,10019,19,19
貢噶寺,Gongge Temple,TNN10019,10019,19,19
億載金城,Eternal Golden Castle,TNN10019,10019,19,19
德陽艦,TEYANG Destroyer,TNN10019,10019,19,19
林默娘公園,LinMoNiang Park,TNN10019,10019,19,19
安平港濱歷史公園,Anping Harborside Historic Park,TNN10019,10019,19,19
原住民文化會館,The Indigenous Culture Museum,TNN10019,10019,19,19
大灣高中,Dawan Senior High School,TNN10019,10019,19,19
文賢街,Wunsian St.,TNN10019,10019,19,19
姓鄭仔,Singchengzai,TNN10019,10019,19,19
大灣,Dawan,TNN10019,10019,19,19
廣護宮,Guanghu Temple,TNN10019,10019,19,19
大灣三街,Dawan 3rd St.,TNN10019,10019,19,19
南灣,Nanwan,TNN10019,10019,19,19
埔子尾,Puzihwei,TNN10019,10019,19,19
天公廟,Tiangong Temple,TNN10019,10019,19,19
崑山社區,Kunshan Community,TNN10019,10019,19,19
崑山科大,Kun Shan University,TNN10019,10019,19,19
建國里,Jianguo Vil.,TNN10019,10019,19,19
漢聲電台,Voice of Han Broadcasting Network,TNN10019,10019,19,19
影劇三村,Yingjyu 3rd Village,TNN10019,10019,19,19
榮民醫院,Veterans General Hospital,TNN10019,10019,19,19
臺灣銀行,Bank of Taiwan,TNN10019,10019,19,19
四份子,Sihfenzih,TNN10019,10019,19,19
光明街口,Guangming St. Intersection,TNN10019,10019,19,19
無障礙福利之家,Home for the Disabled,TNN10019,10019,19,19
成大醫院(小東路),Cheng Kung University Hospital(Siaodong Rd.),TNN10019,10019,19,19
成功大學,National Cheng Kung University,TNN10019,10019,19,19
小東路,Siaodong Rd.,TNN10019,10019,19,19
臺南公園(北門路),Tainan Park(Beimen Rd.),TNN10019,10019,19,19
臺南火車站(北站),Tainan Train Station(North),TNN10019,10019,19,19
南區健保局,NHI Southern Region Branch,TNN10019,10019,19,19
大遠百,FE21’ Department Store,TNN10019,10019,19,19
林百貨(中正路),Hayashi Department Store (Jhongjheng Rd.),TNN10019,10019,19,19
中正、西門路口,Jhongjheng Rd.＆Simen Rd.,TNN10019,10019,19,19
西門、友愛街口,Simen Rd.＆Youai St.,TNN10019,10019,19,19
小西門(大億麗緻),Siaosimen(Tayih Landis Hotel),TNN10019,10019,19,19
永華站,Yonghua Bus Station,TNN10019,10019,19,19
水萍塭公園,Shueipingwun Park,TNN10019,10019,19,19
文南路口,Wunnan Rd. Intersection,TNN10019,10019,19,19
家樂福,Carrefour,TNN10019,10019,19,19
市政中心(永華路),Tainan City Hall(Yonghua Rd.),TNN10019,10019,19,19
南台別院,Nan Tai Temple,TNN10019,10019,19,19
文平路口,Wunping Rd. Intersection,TNN10019,10019,19,19
華平路口,Huaping Rd. Intersection,TNN10019,10019,19,19
健康二街口,Jiankang 2nd St. Intersection,TNN10019,10019,19,19
國平路口,Guoping Rd. Intersection,TNN10019,10019,19,19
平豐路口,Pingfeng Rd. Intersection,TNN10019,10019,19,19
貢噶寺,Gongge Temple,TNN10019,10019,19,19
億載金城,Eternal Golden Castle,TNN10019,10019,19,19
德陽艦,TEYANG Destroyer,TNN10019,10019,19,19
林默娘公園,LinMoNiang Park,TNN10019,10019,19,19
安平港濱歷史公園,Anping Harborside Historic Park,TNN10019,10019,19,19
